max_depth,learning_rate,subsample,colsample_bytree,best_iteration,val_auc,val_log_loss,val_accuracy,val_brier
3,0.01,0.6,0.7,598,0.8099412308864341,0.524379111029089,0.7205127663618509,0.17745403945446014
3,0.01,0.6,0.85,597,0.8099627626122103,0.5243197379242232,0.720745074021668,0.17745156586170197
3,0.01,0.6,1.0,599,0.8098517070072444,0.5243867832308267,0.7202804587020337,0.17749729752540588
3,0.01,0.7,0.7,585,0.8099614851779264,0.5244407364255904,0.7203649342146945,0.17746657133102417
3,0.01,0.7,0.85,599,0.8100842526786423,0.5242135492603656,0.7209140250469895,0.17740625143051147
3,0.01,0.7,1.0,599,0.8099075278524386,0.5243669637739912,0.7202804587020337,0.17748022079467773
3,0.01,0.85,0.7,597,0.8099221478737231,0.5243511545452332,0.7207661928998331,0.1774606555700302
3,0.01,0.85,0.85,587,0.8098954618076587,0.5244501415989808,0.7202593398238686,0.1775004118680954
3,0.01,0.85,1.0,589,0.8098290111391913,0.5245226502990713,0.7206183607526768,0.1775417923927307
3,0.01,1.0,0.7,599,0.8098190030838619,0.5245483385207509,0.7200270321640514,0.17753472924232483
3,0.01,1.0,0.85,599,0.8096883203077261,0.5245199425836244,0.7201115076767122,0.1775638610124588
3,0.01,1.0,1.0,599,0.8096682149907628,0.5245706160061131,0.7204071719710249,0.1775909960269928
3,0.03,0.6,0.7,259,0.8102758428434689,0.5238179781486143,0.7207239551435027,0.17729924619197845
3,0.03,0.6,0.85,252,0.8101858907740164,0.523943402284419,0.7210829760723111,0.17736169695854187
3,0.03,0.6,1.0,290,0.8100109215278899,0.5240092491131116,0.7202382209457033,0.177407369017601
3,0.03,0.7,0.7,251,0.8101016086572935,0.5238717017601213,0.7206605985090072,0.17734545469284058
3,0.03,0.7,0.85,265,0.8100459492755109,0.5239456509440247,0.7204705286055205,0.17739322781562805
3,0.03,0.7,1.0,262,0.810064543437672,0.5239717556712792,0.7205127663618509,0.17739588022232056
3,0.03,0.85,0.7,262,0.8101674910815997,0.5237800807111189,0.720090388798547,0.17729875445365906
