model,ablation,mean_gap,ci_low,ci_high,n_boot
XGBoost,no_economy,0.008248537405854336,0.004561110785317768,0.011991684861454853,2000
XGBoost,no_objectives,0.006528055793358952,0.003182484453274295,0.009981915021481878,2000
XGBoost,no_structures,-8.80600300476273e-05,-0.00039746783838753575,0.00020983624709571254,2000
XGBoost,no_epic_monsters,0.006451493221672054,0.0030901298154594305,0.009807964748665068,2000
XGBoost,only_economy,0.006869433337761458,0.0029565619190993738,0.010699628373243722,2000
XGBoost,only_objectives,0.0498478592175667,0.04097743954885608,0.059074494352711754,2000
XGBoost,only_structures,0.08907065311326091,0.07759092942458884,0.10109551054664641,2000
XGBoost,only_epic_monsters,0.09482592135146159,0.08224684559279688,0.10697648139126166,2000
XGBoost,team_level_only,0.0011235886674229895,-0.0007546714549522326,0.003032472912762712,2000
XGBoost,role_level_only,0.0035272079915974236,0.000290680412413244,0.0067376926834922446,2000
LogisticRegression,no_economy,0.0059623187400475695,0.003215427992276024,0.008753070230121753,2000
LogisticRegression,no_objectives,0.005832932561651297,0.0014165405365902024,0.010184440779681309,2000
LogisticRegression,no_structures,4.249915935785831e-06,-0.0008350889454179944,0.0008069805701335548,2000
LogisticRegression,no_epic_monsters,0.005959276045161445,0.0016903876798881558,0.010108682082143612,2000
LogisticRegression,only_economy,0.00889869290702973,0.0034991863516135426,0.014187385774464328,2000
LogisticRegression,only_objectives,0.04886699754579713,0.04095920937355639,0.05662454379320716,2000
LogisticRegression,only_structures,0.08213631598751946,0.07251201490719779,0.09224302395372698,2000
LogisticRegression,only_epic_monsters,0.09757767288626758,0.08516685316269221,0.1094467337774833,2000
LogisticRegression,team_level_only,0.0018336979152006033,-0.0012603955832587693,0.004941548945819797,2000
LogisticRegression,role_level_only,-8.32070385463879e-06,-0.0002315838863499814,0.00019647082324713845,2000
