match_id,rank
NA1_5638871427,GRANDMASTER
NA1_5635413357,DIAMOND
NA1_5630335412,GOLD
NA1_5629186973,BRONZE
NA1_5634949795,GRANDMASTER
NA1_5637948131,MASTER
NA1_5638905649,DIAMOND
NA1_5637783624,GRANDMASTER
NA1_5637584115,GRANDMASTER
NA1_5639234360,BRONZE
NA1_5629889278,EMERALD
NA1_5637832727,DIAMOND
NA1_5631570676,IRON
NA1_5638362681,EMERALD
NA1_5639135939,DIAMOND
NA1_5633019527,SILVER
NA1_5638644088,EMERALD
NA1_5634192313,MASTER
NA1_5636858705,IRON
NA1_5635714856,DIAMOND
NA1_5636788948,GRANDMASTER
NA1_5637808626,MASTER
NA1_5639075728,GRANDMASTER
NA1_5636992954,IRON
NA1_5634960704,PLATINUM
NA1_5635683269,IRON
NA1_5637881676,IRON
NA1_5632796043,EMERALD
NA1_5638212713,EMERALD
NA1_5637082917,PLATINUM
NA1_5637932043,PLATINUM
NA1_5638277096,EMERALD
NA1_5638337621,PLATINUM
NA1_5629362640,GRANDMASTER
NA1_5638586309,GOLD
NA1_5633288443,EMERALD
NA1_5638194183,GRANDMASTER
NA1_5635091041,SILVER
NA1_5629256289,DIAMOND
NA1_5638670050,IRON
NA1_5638518042,DIAMOND
NA1_5632558331,SILVER
NA1_5636781953,MASTER
NA1_5635056842,CHALLENGER
NA1_5639149836,MASTER
NA1_5636042181,PLATINUM
NA1_5638919343,MASTER
NA1_5637852017,EMERALD
NA1_5638072110,MASTER
NA1_5635163985,GRANDMASTER
NA1_5637620439,BRONZE
NA1_5632884417,GRANDMASTER
NA1_5631056858,GOLD
NA1_5639090980,SILVER
NA1_5636777746,SILVER
NA1_5636435883,BRONZE
NA1_5634330589,PLATINUM
NA1_5638193703,PLATINUM
NA1_5636735698,BRONZE
NA1_5635498086,BRONZE
NA1_5631998692,GRANDMASTER
NA1_5638861185,GOLD
NA1_5629370961,SILVER
NA1_5637044287,SILVER
NA1_5637610311,DIAMOND
NA1_5632795008,PLATINUM
NA1_5639228016,DIAMOND
NA1_5637900208,DIAMOND
NA1_5631909260,GOLD
NA1_5635556536,DIAMOND
NA1_5630051023,EMERALD
NA1_5637653394,GRANDMASTER
NA1_5638186025,GOLD
NA1_5638979662,DIAMOND
NA1_5637491739,MASTER
NA1_5635378110,GRANDMASTER
NA1_5634170688,GRANDMASTER
NA1_5638303584,GOLD
NA1_5639051265,SILVER
NA1_5638363978,IRON
NA1_5638582597,GOLD
NA1_5638236930,IRON
NA1_5635341367,DIAMOND
NA1_5635323272,BRONZE
NA1_5628912251,DIAMOND
NA1_5638427349,GRANDMASTER
NA1_5630533475,GOLD
NA1_5639149705,GRANDMASTER
NA1_5638527843,DIAMOND
NA1_5636224243,SILVER
NA1_5638034542,IRON
NA1_5638547596,MASTER
NA1_5639105229,DIAMOND
NA1_5635704486,SILVER
NA1_5633093725,DIAMOND
NA1_5638442108,EMERALD
NA1_5637410736,GOLD
NA1_5635723124,EMERALD
NA1_5638648592,IRON
NA1_5638726946,GOLD
NA1_5633486131,IRON
NA1_5633811778,SILVER
NA1_5634223730,PLATINUM
NA1_5636314875,IRON
NA1_5634459389,IRON
NA1_5637847189,SILVER
NA1_5631245341,EMERALD
NA1_5637656043,SILVER
NA1_5629502427,GOLD
NA1_5635108619,PLATINUM
NA1_5638941868,GOLD
NA1_5639254900,EMERALD
NA1_5639150395,MASTER
NA1_5634069306,BRONZE
NA1_5635058980,GOLD
NA1_5633836590,IRON
NA1_5638442715,CHALLENGER
NA1_5637646006,SILVER
NA1_5637106861,EMERALD
NA1_5635468296,SILVER
NA1_5639098210,BRONZE
NA1_5637372090,GRANDMASTER
NA1_5631368948,MASTER
NA1_5636289690,GRANDMASTER
NA1_5638958215,EMERALD
NA1_5635854204,SILVER
NA1_5636743778,PLATINUM
NA1_5639098533,MASTER
NA1_5634140116,IRON
NA1_5638907807,GOLD
NA1_5632769632,GOLD
NA1_5636922787,DIAMOND
NA1_5635969127,EMERALD
NA1_5632752522,EMERALD
NA1_5637219468,BRONZE
NA1_5631236112,DIAMOND
NA1_5638120883,SILVER
NA1_5636725726,CHALLENGER
NA1_5639105324,PLATINUM
NA1_5633982470,GRANDMASTER
NA1_5631438624,MASTER
NA1_5637413496,GRANDMASTER
NA1_5635096841,IRON
NA1_5632895350,BRONZE
NA1_5637583363,MASTER
NA1_5637289201,GOLD
NA1_5629686912,SILVER
NA1_5634103395,CHALLENGER
NA1_5636082820,EMERALD
NA1_5637727080,IRON
NA1_5630140404,EMERALD
NA1_5629881290,EMERALD
NA1_5639120085,SILVER
NA1_5634900728,SILVER
NA1_5632442142,DIAMOND
NA1_5630976450,PLATINUM
NA1_5637447480,MASTER
NA1_5638567034,BRONZE
NA1_5638001459,EMERALD
NA1_5636744559,GOLD
NA1_5637694552,CHALLENGER
NA1_5637702110,PLATINUM
NA1_5636780853,DIAMOND
NA1_5638083484,PLATINUM
NA1_5635202833,CHALLENGER
NA1_5635556354,GOLD
NA1_5630010403,MASTER
NA1_5637210741,EMERALD
NA1_5634354950,DIAMOND
NA1_5638439020,DIAMOND
NA1_5638696002,GOLD
NA1_5637809424,MASTER
NA1_5634268054,IRON
NA1_5639200569,GOLD
NA1_5638870782,IRON
NA1_5634354030,GRANDMASTER
NA1_5636724290,GOLD
NA1_5637254481,SILVER
NA1_5638281105,IRON
NA1_5633593504,PLATINUM
NA1_5629955613,IRON
NA1_5629772001,IRON
NA1_5634926415,BRONZE
NA1_5639171261,BRONZE
NA1_5633771433,EMERALD
NA1_5637482939,BRONZE
NA1_5638829127,PLATINUM
NA1_5629825292,DIAMOND
