C,penalty,val_auc,val_log_loss,val_accuracy,val_brier
0.001,l2,0.8119813763997584,0.5203777217137352,0.7222656332495618,0.1765758822105876
0.01,l2,0.8114242723218705,0.5210593038106065,0.721188570463137,0.17681653945159512
0.1,l2,0.8114082954726909,0.521169047674221,0.7211252138286415,0.1768436274577975
1.0,l2,0.8113922151441975,0.5211864620107299,0.7212096893413021,0.17684844607133893
10.0,l2,0.8113745647847406,0.5211963255452922,0.7209985005596503,0.17684969116547838
100.0,l2,0.8113716798528452,0.5212316310661879,0.7210829760723111,0.17685800242594701
